,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
5579,5738,4,1,3,0,1,@babyspittle @Kimmyincali @MartiniShark @SenatorReid Still blaming Bush? Fucking retard
16749,17134,3,0,3,0,1,"RT @OHHHME: I just want the money, ian trippin on these hoes"
18263,18669,3,2,1,0,0,"RT @_Cashhhhhh: Was deleting this pic until I realized a dike in the back ground dressed like a nigga with wedges on &#128514; , bitch I'm &#128128; http:/&#8230;"
8259,8488,3,0,3,0,1,But she is a hoe.? &#8212; idk about that http://t.co/eccFBqzlKZ
1091,1115,3,0,0,3,2,&#8220;@AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.
51,51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
6645,6831,3,0,3,0,1,@max_dashevsky u and taber the shit coon
18384,18793,6,0,6,0,1,RT @__PrettyTea: 30 bottles ! 30 bitches !
14019,14359,3,0,3,0,1,"RT @33mLENY: bae: lemme see your phone if you dont have hella hoes 

me: one sec http://t.co/MztLPgx4ur"
22173,22642,3,0,3,0,1,Thought I told you not to trust these hoes
23877,24374,3,0,0,3,2,"graham crackers with marshmallows, the little marshmallows and little chocolate bars and we can make s'mores, man."
23791,24286,3,0,3,0,1,eli manning looks like a idiot when he's talking to the guys on the sideline with his hands up . like retarded af
17568,17967,3,0,3,0,1,RT @TattedUp_Tre: &#8220;@Blaxxxican: Early bird gets the dick&#127770;&#8221; &#128514;&#128514;&#128514;
21908,22375,3,0,3,0,1,Thirsty ass bitch don't sweat me
15097,15455,3,0,3,0,1,RT @EatThePeas: I hate myself for bein so nice to these hoes bro. ..
10361,10639,6,0,6,0,1,I got every reason to feel like I'm that bitch
17295,17690,3,1,2,0,1,RT @SheswantstheD: trying so hard to resist the urge to smack a bitch http://t.co/Cvnlm1I3Ls
