,ds,Unnamed: 1,count,hate_speech,offensive_language,neither,class,tweet,id
26842,td,26870,0,0,0,0,2,she was telling me about this kid who's soles of his shoes are falling off. I am going to get him some shoes. hope his parents don't get mad,
15344,td,15372,0,0,0,0,2,Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy and my sister to not be a bitch.,
8611,td,8639,0,0,0,0,2,@is_anyone_up @Huntermoore fuck my tight pussy until I'm dripping wet,
1109,c,1117,0,0,0,0,2,Much #socialmedia #hate re: #transgender folk. Anyone else notice?   #LGBTQ  #trans  @FCDems  @TransLawCenter  @HuffPost  @JohnAvlon  @eqca,8.77246380728881E+017
14299,td,14327,0,0,0,0,2,Is this napK bitch retarded or stupid wtf would you request me didn't she read my bio it's pretty&#8230; http://t.co/ReqHlHHml4,
13119,td,13147,0,0,0,0,2,I looked retarded,
2856,td,2880,0,0,0,0,2,And bitch you must be lost &#128514;&#128514;,
17763,td,17791,0,0,0,0,2,RT @GbOSMG: y'all gotta stop pumping these ugly hoes heads up &#128567;,
4413,td,4441,0,0,0,0,2,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/sPVogfyXZT,
15137,td,15165,0,0,0,0,2,Make my burger bitch &#128514;&#128514; http://t.co/StVEpVMzZz,
21068,td,21096,0,0,0,0,2,"RT @beauty_briii: One of my classmates offered my teacher and brownie and someone said ""you trying to earn brownie points"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",
23371,td,23399,0,0,0,0,2,So basically I reflected a lot on how for now I make fire my bitch day to day.,
10950,td,10978,0,0,0,0,2,Conoc&#237; tus ojos negros  Y ahora si que no puedo vivir sin ellos,
24157,td,24185,0,0,0,0,2,These bitches irritating,
21694,td,21722,0,0,0,0,2,RT @irielee12: @drrrruuuu @Victoria_Finae ayyy what fags,
20528,td,20556,0,0,0,0,2,RT @WorldStarFunny: when ling ling talkin shit &amp; u finally understand her https://t.co/2KlOnqhsi9,
17626,td,17654,0,0,0,0,2,RT @FirearmsDaily: Statistics don't lie if you like gun control you're a queer guy. #FD,
6340,td,6368,0,0,0,0,2,@LessonswithKate - I'm jst fckn w/ you.&#128514; I've always wanted to jigg hella good too. we jst not wild enough to be in the circle cuz.&#128557;,
22531,td,22559,0,0,0,0,2,RT @taylormrake: People beg to see women's bodies but the minute they're seen that woman is now a hoe oh okay,
21166,td,21194,0,0,0,0,2,RT @chanelisabeth: happy 17th birthday to my main hoe and partner in crime #bountyhunters4lyfe &#127881;&#128299; @Whitecholo23,
9997,td,10025,0,0,0,0,2,All I want for my birthday is a big booty hoe.,
14433,td,14461,0,0,0,0,2,Its funny how bitches nag me they jus mad they cant have me,
7175,td,7203,0,0,0,0,0,@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass closet racist wannabe-commune-without-railroad state&gt; #Cali,
11912,td,11940,0,0,0,0,2,Gonna drink and talk about bitches that I've almost had.,
16124,td,16152,0,0,0,0,2,Only white trash and morons are offended by the #Redskins team name. #Liberalism,
