ds,,count,hate_speech,"offensive_language,",neither,class,tweet,,
w,5.72341498827522E+017,0,0,0,,0,Drasko they didn't cook half a bird you idiot #mkr,,
w,5.72340476503724E+017,0,0,0,,0,Hopefully someone cooks Drasko in the next ep of #MKR,,
w,5.72334712804385E+017,0,0,0,,0,of course you were born in serbia...you're as fucked as A Serbian Film #MKR,,
w,5.7233265539763E+017,0,0,0,,0,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",,
w,5.75949086055998E+017,0,0,0,,0,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,,
w,5.51659627872416E+017,0,0,0,,0,@lauracdean I love how the Islamofascists recruit 14 and 15 year old jihadis and then talk about minors in reference to 17 year olds.,,
w,5.51763146877452E+017,0,0,0,,0,@ibnHlophe @eeviewonders @anjemchoudary A criminal to ISIS is anyone that does not agree with their barbaric and inhuman religion.,,
w,5.51768543277355E+017,0,0,0,,0,@anjemchoudary Nothing desperate about it. Humanity realizes now that Islam declared war on it 1400 years ago and Islam will be destroyed.,,
w,5.51769061055812E+017,0,0,0,,0,@anjemchoudary Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.,,
w,5.51769698917167E+017,0,0,0,,0,"@anjemchoudary Your prophet was a rapist, murderer, pedophile, caravan robber, slave trader, bigot and sexist. God would never use the scum.",,
w,5.51779988567892E+017,0,0,0,,0,@anjemchoudary Maybe you can give a talk about how the 53 year old Mohammed raped the 9 year old Aisha. http://t.co/qFk56qU5Og,,
w,5.51783732466577E+017,0,0,0,,0,"@jonsnowC4 @SwatiGauri When an Islamolunatic blows himself up in Baghdad, it has zero to do with Bush and Blair.",,
w,5.51787027725705E+017,0,0,0,,0,@REMY119 Israel is only trying to defend itself against murderous Muslims trying to wipe it out. UN votes by Muslim nations mean nothing.,,
w,5.51787273256051E+017,0,0,0,,0,@REMY119 The Muslims have exterminated Christians and Jews all over the ME and continue today.  Where are the UN resolutions?,,
w,5.5178771716862E+017,0,0,0,,0,@REMY119 Muslims are fighting with every religion and none religion on the face of the earth.  But we are suppose to believe it's Jews fault,,
w,5.51796768623436E+017,0,0,0,,0,It seems that Allah sits around all day obsessing about women's hands and faces showing.  I guess idiots need a god on their level.  #Islam,,
w,5.51797843472556E+017,0,0,0,,0,"In Islam women must be locked in their houses, and Muslims claim this is treating them well. http://t.co/rVO5TrXmZt",,
w,5.51798472827884E+017,0,0,0,,0,"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet.",,
w,5.51799120080294E+017,0,0,0,,0,To Muslims a woman walking down the street is a giant vagina demanding to be raped if she is not covered by a tent. http://t.co/XTd6RTpRB8,,
w,5.51804052606968E+017,0,0,0,,0,@UmarFarooq_ ROFL.  No one with a brain will want a madrassa education.  Will they teach Mohammed's remedies? http://t.co/dxJ6oEj19B,,
w,5.51807282153935E+017,0,0,0,,0,"The myth of ""moderate"" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5",,
w,5.51812016768172E+017,0,0,0,,0,"RT @IAMMGraham: I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees:
http://t.co…",,
w,5.5193534464435E+017,0,0,0,,0,RT @Mola_Tiz: Palestinians accepted the 2state solution.one for Hamas and one for ISIS. http://t.co/kPVBxc6MJx,,
w,5.51935446427505E+017,0,0,0,,0,RT @Juliet777777: Norway sees huge drop crime as large number  Muslim illegals deported  http://t.co/6VBvvPWn1Q @FrancsPays @DutchDL @OZzSu…,,
w,5.51984700764332E+017,0,0,0,,0,"RT @DilanaKurdi: Yazidi children who are taken from their parents, forcibly converted to Islam! #Sinjar #Shengal http://t.co/wwzplHld7f",,
w,5.52131027590586E+017,0,0,0,,0,@anjemchoudary Come and get your Jizya scumbag.  I have it waiting in .40 cal copper and lead.,,
w,5.52132765592728E+017,0,0,0,,0,@anjemchoudary Islam is a religion with zero spiritual content.  But it tells you exactly how to wipe your ass.,,
w,5.52133306553074E+017,0,0,0,,0,@anjemchoudary Accepting the idea that Allah obsesses over how we take a dump shows just how utterly insane this inbred religion is.,,
w,5.52178267927884E+017,0,0,0,,0,Imam's who disagree with Jihad are attacked by Muslims.  So where are these moderate Muslims?  #Islam http://t.co/hkh5tyEIej,,
w,5.52242912487305E+017,0,0,0,,0,@alikoeln He is following the example of his prophet who married one of his wives at 6. They do everything their prophet does exactly. #Isam,,
w,5.52243885196735E+017,0,0,0,,0,"Following the example of the pedophile prophet Mohammed in every detail, one ISIS militant is marrying a 7 year old child in Mosul. #Islam",,
w,5.52245992721252E+017,0,0,0,,0,RT @PeterTownsend7: #ISIS #Islam PC Puzzle: Converting to a religion of peace leading to violence? http://t.co/TBJUsaeMUH http://t.co/G4xOh…,,
w,5.52246388025983E+017,0,0,0,,0,"@MrAlMubarak Yes, they tried to murder their way to heaven.  A total idiot would believe in such an Allah.",,
w,5.52247283438588E+017,0,0,0,,0,"@ummayman90 @wood_brwood333 For example, in Medina Mohammed said, kindly cut off the heads of these 600 Jewish men and enslave their women.",,
w,5.52247950039327E+017,0,0,0,,0,@TII99 That is a total lie.  Minorities in Muslim lands have been exterminated for 1400 years.,,
w,5.52248563330482E+017,0,0,0,,0,@suranie Exactly.  Merkel is defending this.  And the protesters are called Islamophobes for being against it. http://t.co/08ZwRcTo88,,
w,5.52252662381433E+017,0,0,0,,0,@MoAnsar @arennie44 Of course it is #Islam.  The Quran approves of both slavery and the rape of female slaves. http://t.co/axovjYZ8z0,,
w,5.52253146970337E+017,0,0,0,,0,@ummayman90 Richard was king he could do what he pleased. None of your garbage has any bearing on Mohammed being a pedophile. #Islam,,
w,5.52253495328248E+017,0,0,0,,0,@ummayman90 And you can't use the culture excuse because Mohammed claimed to be guided by Allah and that he was creating a culture. #Islam,,
w,5.52253987701789E+017,0,0,0,,0,"@MoAnsar @arennie44 Furthermore, Islam demands that women be locked in their homes and covered. Stop lying. http://t.co/iVd1vihPFa",,
w,5.52254351754818E+017,0,0,0,,0,@ummayman90 What do customs and rules and history have to do with it.  Marrying a 6 year old and screwing a 9 year old is sick like Islam.,,
w,5.52254776218366E+017,0,0,0,,0,"@ummayman90 #Islam tarnishes itself.  I just point out the truth of what is there, and you try to rationalize it because you are ashamed.",,
w,5.52255235863757E+017,0,0,0,,0,"@ummayman90 If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",,
w,5.5225566530175E+017,0,0,0,,0,@ummayman90 And the truth is that more Muslims are walking away from Islam than people are converting to it.  Education will now kill #Islam,,
w,5.52256116952805E+017,0,0,0,,0,@ummayman90 The people who disagreed with #Islam at the time of the pedophile prophet were murdered by him.  It's in the Hadiths.,,
w,5.52256504485528E+017,0,0,0,,0,@ummayman90 Who knows if they criticized him?  He killed them.  And the things against him would never make it into the Sunnah.,,
w,5.52256837819449E+017,0,0,0,,0,"@ummayman90 When people leave Islam, they don't announce it.  They just quietly walk away.",,
w,5.52257230037213E+017,0,0,0,,0,"@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam",,
w,5.52257644853862E+017,0,0,0,,0,"@ummayman90 And Muslims are expected to fear god as well.  If living in fear is your idea of perfect, you are stupid.",,
w,5.52257867932107E+017,0,0,0,,0,"@ummayman90 It's not about who was not murdered by him, it's about who was.",,
w,5.52258072148582E+017,0,0,0,,0,"@ummayman90 Because they breed like rats, kill non Muslims, and force religion on people by the sword.",,
w,5.52258490316493E+017,0,0,0,,0,"@ummayman90 Yes, might, power, and imperialism is what it is all about.  There is zero spirituality in it.  Soon the world will understand.",,
