,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
15272,15632,3,2,0,1,0,RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;
9351,9609,3,0,0,3,2,Funny thing is....it's not just the people doing it. It's the people who seeing these pics and judging the birds. Just as wrong.
20323,20769,3,0,3,0,1,"RT @winkSOSA: ""@AintShitSweet__: ""@Rakwon_OGOD: Nigga messed with the wrong bitch &#128557;&#128514;https://t.co/5mNXKVAYot"" &#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@Th_Real_Esco"
3638,3737,3,0,3,0,1,@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa
20579,21026,6,0,6,0,1,S/o that real bitch
6674,6860,3,0,3,0,1,@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .
13182,13507,3,0,3,0,1,Nah Mimi a bitch
115,116,3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
5163,5315,3,0,2,1,1,@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao
22847,23326,3,0,3,0,1,"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe """
18388,18797,3,0,3,0,1,"RT @__VIIXXIV &#128514;

Me: Baby I cooked
Bae: What's for dinner?
Me: That bitch you been texting http://t.co/GwT19xIXUz"
2498,2551,3,0,3,0,1,@AustinBurge44 pussy ass schedule
21142,21598,3,2,1,0,0,Stay home then bitch fuck u
24310,24814,3,0,2,1,1,okay but how many people really care if you can see a girls nips through her shirt
4954,5100,3,1,2,0,1,@TheREALJB1RD Now beaners drive em.
23887,24384,6,1,5,0,1,hahaha dumb bitch
6308,6489,3,0,3,0,1,@just_priss I understand but stop venting on this bitch you give to much insight in to your life &amp; these people don't deserve that
6409,6592,3,0,3,0,1,@kieffer_jason @sbsylvester @hunterbuch66 bitch keep talking
18872,19290,3,0,2,1,1,RT @deecatanz: Lmao hoes now a days &#128514;&#128581;
1199,1225,3,0,3,0,1,&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority
12460,12772,3,0,0,3,2,Lilly just tried to climb up a tree after a bird and completely failed oh my god &#128514;
22708,23186,3,0,3,0,1,When i see a SUPER bad bitch and she happen to be from my city i just feel the need to shoot my shot.
13831,14170,3,0,3,0,1,Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q
1692,1727,3,0,3,0,1,"&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch"""
23781,24276,3,0,3,0,1,dope in the bag pretty bitch on the side
19215,19643,3,0,3,0,1,RT @iamSwagnificant: A real hoe will never let you turn her into a house wife.. She'll let you know what it is before you start catching fe&#8230;
22867,23347,3,1,2,0,1,"Why do people use the eggplant Emoji in reference to a dick? If your dick is purple with a green top, see a doctor bruh."
24387,24892,3,0,3,0,1,red bone but her pusssy hairlessss
