24,feature_vocab_ngram,Muslim
193,feature_vocab_ngram,cult
212,feature_vocab_ngram,destroy
393,feature_vocab_ngram,isl
394,feature_vocab_ngram,islam
635,feature_vocab_ngram,refugees
1251,feature_vocab_2skip_bigram,"('bani', 'slam')"
1439,feature_vocab_2skip_bigram,"('evil', 'not')"
1669,feature_vocab_2skip_bigram,"('i', 'hate')"
1827,feature_vocab_2skip_bigram,"('is', 'evil')"
1878,feature_vocab_2skip_bigram,"('isl', 'is')"
1881,feature_vocab_2skip_bigram,"('islam', 'a')"
1896,feature_vocab_2skip_bigram,"('islam', 'is')"
2041,feature_vocab_2skip_bigram,"('london', 'is')"
2173,feature_vocab_2skip_bigram,"('muslim', 's')"
2544,feature_vocab_2skip_bigram,"('refuge', 'not')"
4868,feature_vocab_2skip_trigram,"('slam', 'ha', 'rial')"
5858,feature_vocab_pos_2skip_trigram,"('jj', 'vb', 'to')"
6190,feature_vocab_pos_2skip_trigram,"('nn', 'rb', 'vb')"
7528,feature_vocab_pos_2skip_trigram,"('vbp', 'jj', 'dt')"
8035,feature_vocab_td_other,num_hashtags
