dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.70,0.65,0.67,1533
1,0.68,0.62,0.65,2832
2,0.84,0.87,0.86,9581
3,0.29,0.18,0.22,22
avg_micro,0.80,0.80,0.80,None
avg_macro,0.63,0.58,0.60,None

 HELDOUT :
,precision, recall, f1, support
0,0.70,0.66,0.68,479
1,0.68,0.62,0.65,938
2,0.85,0.88,0.86,3230
3,0.50,0.30,0.37,10
avg_micro,0.80,0.80,0.80,None
avg_macro,0.68,0.62,0.64,None

dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.72,0.62,0.67,1533
1,0.71,0.59,0.65,2832
2,0.83,0.90,0.86,9581
3,0.00,0.00,0.00,22
avg_micro,0.80,0.80,0.80,None
avg_macro,0.57,0.53,0.54,None

 HELDOUT :
,precision, recall, f1, support
0,0.72,0.65,0.68,479
1,0.83,0.45,0.59,938
2,0.82,0.94,0.87,3230
3,1.00,0.20,0.33,10
avg_micro,0.81,0.81,0.81,None
avg_macro,0.84,0.56,0.62,None

dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.71,0.72,0.71,1533
1,0.72,0.61,0.66,2832
2,0.85,0.89,0.87,9581
3,0.00,0.00,0.00,22
avg_micro,0.81,0.81,0.81,None
avg_macro,0.57,0.55,0.56,None

 HELDOUT :
,precision, recall, f1, support
0,0.71,0.74,0.72,479
1,0.81,0.50,0.62,938
2,0.83,0.93,0.88,3230
3,0.00,0.00,0.00,10
avg_micro,0.82,0.82,0.82,None
avg_macro,0.59,0.54,0.55,None

