dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.00,0.00,0.00,1069
1,0.77,1.00,0.87,14396
2,0.00,0.00,0.00,3122
avg,0.26,0.33,0.29,18587

 HELDOUT :
,precision, recall, f1, support
0,0.00,0.00,0.00,361
1,0.77,1.00,0.87,4794
2,0.00,0.00,0.00,1041
avg,0.26,0.33,0.29,6196

dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.35,0.30,0.32,1069
2,0.96,0.97,0.96,17518
avg,0.65,0.63,0.64,18587

 HELDOUT :
,precision, recall, f1, support
0,0.28,0.28,0.28,361
2,0.96,0.96,0.96,5835
avg,0.62,0.62,0.62,6196

