_c-tdf-kb N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.66,0.73,0.69,305
2,0.95,0.92,0.93,1520
avg,0.80,0.83,0.81,1825

 HELDOUT :
,precision, recall, f1, support
0,0.66,0.84,0.74,109
2,0.96,0.91,0.93,500
avg,0.81,0.88,0.84,609

_c-tdf-kb N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.40,0.48,0.44,1069
1,0.95,0.91,0.93,14396
2,0.81,0.92,0.86,3122
avg,0.72,0.77,0.74,18587

 HELDOUT :
,precision, recall, f1, support
0,0.37,0.50,0.43,361
1,0.96,0.90,0.93,4794
2,0.80,0.93,0.86,1041
avg,0.71,0.78,0.74,6196

