_c-tdf-sfm N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.61,0.67,0.64,305
2,0.93,0.91,0.92,1520
avg,0.77,0.79,0.78,1825

 HELDOUT :
,precision, recall, f1, support
0,0.60,0.83,0.70,109
2,0.96,0.88,0.92,500
avg,0.78,0.86,0.81,609

_c-tdf-sfm N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.44,0.52,0.48,1069
1,0.96,0.91,0.94,14396
2,0.80,0.96,0.87,3122
avg,0.74,0.80,0.76,18587

 HELDOUT :
,precision, recall, f1, support
0,0.43,0.48,0.46,361
1,0.96,0.91,0.94,4794
2,0.80,0.95,0.87,1041
avg,0.73,0.78,0.75,6196

