_tdca-tdf-sfm N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.49,0.57,0.53,1378
1,0.96,0.90,0.93,14378
2,0.82,0.93,0.87,4653
avg,0.76,0.80,0.78,20409


 n-fold for data from c :
,precision, recall, f1, support
0,0.64,0.74,0.68,324
1,0.00,0.00,0.00,0
2,0.94,0.90,0.92,1517
avg,0.53,0.55,0.53,1841


 n-fold for data from td :
,precision, recall, f1, support
0,0.44,0.52,0.48,1054
1,0.97,0.90,0.93,14378
2,0.77,0.95,0.85,3136
avg,0.73,0.79,0.75,18568

 HELDOUT :
,precision, recall, f1, support
0,0.45,0.58,0.51,466
1,0.96,0.90,0.93,4806
2,0.84,0.92,0.88,1532
avg,0.75,0.80,0.77,6804


 n-fold for data from c :
,precision, recall, f1, support
0,0.54,0.86,0.66,90
1,0.00,0.00,0.00,0
2,0.97,0.86,0.91,503
avg,0.50,0.57,0.53,593


 n-fold for data from td :
,precision, recall, f1, support
0,0.42,0.52,0.46,376
1,0.96,0.90,0.93,4806
2,0.79,0.95,0.86,1029
avg,0.72,0.79,0.75,6211

