_tdca-tdf N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.43,0.49,0.46,1378
1,0.94,0.91,0.93,14378
2,0.84,0.88,0.86,4653
avg,0.74,0.76,0.75,20409


 n-fold for data from c :
,precision, recall, f1, support
0,0.64,0.72,0.68,324
1,0.00,0.00,0.00,0
2,0.94,0.89,0.91,1517
avg,0.53,0.53,0.53,1841


 n-fold for data from td :
,precision, recall, f1, support
0,0.36,0.43,0.39,1054
1,0.94,0.91,0.93,14378
2,0.80,0.87,0.84,3136
avg,0.70,0.74,0.72,18568

 HELDOUT :
,precision, recall, f1, support
0,0.42,0.44,0.43,466
1,0.93,0.92,0.93,4806
2,0.85,0.87,0.86,1532
avg,0.74,0.75,0.74,6804


 n-fold for data from c :
,precision, recall, f1, support
0,0.62,0.72,0.67,90
1,0.00,0.00,0.00,0
2,0.95,0.89,0.92,503
avg,0.52,0.54,0.53,593


 n-fold for data from td :
,precision, recall, f1, support
0,0.37,0.37,0.37,376
1,0.94,0.92,0.93,4806
2,0.81,0.87,0.84,1029
avg,0.71,0.72,0.71,6211

