_tdcb-cskp.o-kb N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.57,0.64,0.60,402
1,0.93,0.87,0.90,1559
2,0.88,0.90,0.89,1872
avg,0.80,0.81,0.80,3833


 for data from c :
,precision, recall, f1, support
0,0.64,0.76,0.70,285
1,0.00,0.00,0.00,0
2,0.95,0.91,0.93,1521
avg,0.53,0.56,0.54,1806


 for data from td :
,precision, recall, f1, support
0,0.36,0.33,0.35,117
1,0.94,0.87,0.91,1559
2,0.65,0.88,0.75,351
avg,0.65,0.70,0.67,2027

 HELDOUT :
,precision, recall, f1, support
0,0.63,0.59,0.61,165
1,0.95,0.88,0.91,501
2,0.86,0.93,0.90,612
avg,0.81,0.80,0.81,1278


 for data from c :
,precision, recall, f1, support
0,0.71,0.66,0.68,129
1,0.00,0.00,0.00,0
2,0.92,0.93,0.92,499
avg,0.54,0.53,0.53,628


 for data from td :
,precision, recall, f1, support
0,0.35,0.33,0.34,36
1,0.95,0.88,0.92,501
2,0.70,0.94,0.80,113
avg,0.67,0.72,0.69,650

