_tdcb-cskp.o-sfm N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.58,0.66,0.62,402
1,0.95,0.87,0.91,1559
2,0.88,0.91,0.90,1872
avg,0.80,0.82,0.81,3833


 for data from c :
,precision, recall, f1, support
0,0.63,0.79,0.70,285
1,0.00,0.00,0.00,0
2,0.96,0.91,0.93,1521
avg,0.53,0.56,0.54,1806


 for data from td :
,precision, recall, f1, support
0,0.39,0.35,0.37,117
1,0.95,0.87,0.91,1559
2,0.66,0.93,0.77,351
avg,0.67,0.72,0.68,2027

 HELDOUT :
,precision, recall, f1, support
0,0.63,0.60,0.62,165
1,0.96,0.90,0.93,501
2,0.88,0.94,0.91,612
avg,0.83,0.81,0.82,1278


 for data from c :
,precision, recall, f1, support
0,0.73,0.66,0.69,129
1,0.00,0.00,0.00,0
2,0.92,0.94,0.93,499
avg,0.55,0.53,0.54,628


 for data from td :
,precision, recall, f1, support
0,0.35,0.39,0.37,36
1,0.96,0.90,0.93,501
2,0.77,0.96,0.85,113
avg,0.69,0.75,0.72,650

