_tdcb-cskp.o N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.28,0.69,0.40,402
1,0.84,0.78,0.81,1559
2,0.89,0.66,0.76,1872
avg,0.67,0.71,0.65,3833


 for data from c :
,precision, recall, f1, support
0,0.38,0.79,0.51,285
1,0.00,0.00,0.00,0
2,0.96,0.69,0.80,1521
avg,0.44,0.50,0.44,1806


 for data from td :
,precision, recall, f1, support
0,0.13,0.45,0.20,117
1,0.91,0.78,0.84,1559
2,0.65,0.52,0.58,351
avg,0.56,0.58,0.54,2027

 HELDOUT :
,precision, recall, f1, support
0,0.53,0.51,0.52,165
1,0.82,0.86,0.84,501
2,0.85,0.83,0.84,612
avg,0.73,0.73,0.73,1278


 for data from c :
,precision, recall, f1, support
0,0.72,0.57,0.64,129
1,0.00,0.00,0.00,0
2,0.91,0.85,0.88,499
avg,0.54,0.48,0.51,628


 for data from td :
,precision, recall, f1, support
0,0.18,0.28,0.22,36
1,0.91,0.86,0.89,501
2,0.65,0.70,0.67,113
avg,0.58,0.61,0.59,650

_tdcb-cskp.o N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.31,0.68,0.43,402
1,0.86,0.80,0.83,1559
2,0.89,0.71,0.79,1872
avg,0.69,0.73,0.68,3833


 for data from c :
,precision, recall, f1, support
0,0.42,0.78,0.54,285
1,0.00,0.00,0.00,0
2,0.95,0.74,0.83,1521
avg,0.46,0.51,0.46,1806


 for data from td :
,precision, recall, f1, support
0,0.14,0.43,0.22,117
1,0.91,0.80,0.85,1559
2,0.65,0.57,0.61,351
avg,0.57,0.60,0.56,2027

 HELDOUT :
,precision, recall, f1, support
0,0.57,0.55,0.56,165
1,0.84,0.86,0.85,501
2,0.86,0.84,0.85,612
avg,0.75,0.75,0.75,1278


 for data from c :
,precision, recall, f1, support
0,0.72,0.63,0.67,129
1,0.00,0.00,0.00,0
2,0.92,0.87,0.89,499
avg,0.55,0.50,0.52,628


 for data from td :
,precision, recall, f1, support
0,0.20,0.28,0.24,36
1,0.92,0.86,0.89,501
2,0.64,0.75,0.69,113
avg,0.59,0.63,0.61,650

