_tdcb-tdf-rfe N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.58,0.56,0.57,402
1,0.91,0.91,0.91,1559
2,0.90,0.91,0.90,1872
avg,0.80,0.79,0.80,3833


 n-fold for data from c :
,precision, recall, f1, support
0,0.68,0.67,0.68,285
1,0.00,0.00,0.00,0
2,0.94,0.92,0.93,1521
avg,0.54,0.53,0.54,1806


 n-fold for data from td :
,precision, recall, f1, support
0,0.33,0.31,0.32,117
1,0.93,0.91,0.92,1559
2,0.73,0.83,0.78,351
avg,0.66,0.68,0.67,2027

 HELDOUT :
,precision, recall, f1, support
0,0.59,0.68,0.63,165
1,0.94,0.89,0.91,501
2,0.90,0.90,0.90,612
avg,0.81,0.82,0.82,1278


 n-fold for data from c :
,precision, recall, f1, support
0,0.70,0.76,0.73,129
1,0.00,0.00,0.00,0
2,0.94,0.90,0.92,499
avg,0.54,0.55,0.55,628


 n-fold for data from td :
,precision, recall, f1, support
0,0.29,0.39,0.33,36
1,0.95,0.89,0.92,501
2,0.77,0.87,0.81,113
avg,0.67,0.72,0.69,650

