_tdcb-tdf-sfm N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.59,0.62,0.60,402
1,0.96,0.84,0.89,1559
2,0.84,0.91,0.87,1872
avg,0.79,0.79,0.79,3833


 n-fold for data from c :
,precision, recall, f1, support
0,0.61,0.73,0.67,285
1,0.00,0.00,0.00,0
2,0.95,0.91,0.93,1521
avg,0.52,0.55,0.53,1806


 n-fold for data from td :
,precision, recall, f1, support
0,0.48,0.37,0.42,117
1,0.97,0.84,0.90,1559
2,0.57,0.95,0.71,351
avg,0.67,0.72,0.68,2027

 HELDOUT :
,precision, recall, f1, support
0,0.66,0.68,0.67,165
1,0.96,0.83,0.89,501
2,0.84,0.93,0.88,612
avg,0.82,0.81,0.81,1278


 n-fold for data from c :
,precision, recall, f1, support
0,0.71,0.78,0.74,129
1,0.00,0.00,0.00,0
2,0.94,0.91,0.93,499
avg,0.55,0.56,0.56,628


 n-fold for data from td :
,precision, recall, f1, support
0,0.40,0.33,0.36,36
1,0.97,0.83,0.89,501
2,0.59,1.00,0.75,113
avg,0.65,0.72,0.67,650

