_tdcb-tdf N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.59,0.56,0.58,402
1,0.91,0.91,0.91,1559
2,0.90,0.91,0.90,1872
avg,0.80,0.79,0.80,3833


 n-fold for data from c :
,precision, recall, f1, support
0,0.69,0.67,0.68,285
1,0.00,0.00,0.00,0
2,0.94,0.93,0.93,1521
avg,0.54,0.53,0.54,1806


 n-fold for data from td :
,precision, recall, f1, support
0,0.32,0.30,0.31,117
1,0.93,0.91,0.92,1559
2,0.73,0.83,0.78,351
avg,0.66,0.68,0.67,2027

 HELDOUT :
,precision, recall, f1, support
0,0.63,0.61,0.62,165
1,0.90,0.90,0.90,501
2,0.89,0.90,0.90,612
avg,0.81,0.80,0.81,1278


 n-fold for data from c :
,precision, recall, f1, support
0,0.74,0.69,0.71,129
1,0.00,0.00,0.00,0
2,0.93,0.92,0.92,499
avg,0.55,0.54,0.55,628


 n-fold for data from td :
,precision, recall, f1, support
0,0.30,0.31,0.30,36
1,0.92,0.90,0.91,501
2,0.75,0.81,0.78,113
avg,0.66,0.67,0.67,650

