dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.65,0.62,0.64,305
2,0.92,0.93,0.93,1520
avg_micro,0.88,0.88,0.88,None
avg_macro,0.79,0.78,0.78,None

 HELDOUT :
,precision, recall, f1, support
0,0.70,0.82,0.75,109
2,0.96,0.92,0.94,500
avg_micro,0.90,0.90,0.90,None
avg_macro,0.83,0.87,0.85,None

dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.70,0.58,0.63,305
2,0.92,0.95,0.93,1520
avg_micro,0.89,0.89,0.89,None
avg_macro,0.81,0.76,0.78,None

 HELDOUT :
,precision, recall, f1, support
0,0.71,0.78,0.74,109
2,0.95,0.93,0.94,500
avg_micro,0.90,0.90,0.90,None
avg_macro,0.83,0.85,0.84,None

