tdo-original-no_gsN-fold results:
,precision, recall, f1, support
0,0.42,0.27,0.33,225
1,0.94,0.93,0.93,2869
2,0.78,0.92,0.85,623
avg,0.72,0.71,0.70,3717

Heldout results:
,precision, recall, f1, support
0,0.41,0.28,0.33,65
1,0.95,0.92,0.93,963
2,0.78,0.94,0.85,212
avg,0.71,0.71,0.71,1240

tdo-original-no_gsN-fold results:
,precision, recall, f1, support
0,0.28,0.14,0.18,225
1,0.92,0.92,0.92,2869
2,0.73,0.87,0.79,623
avg,0.64,0.64,0.63,3717

Heldout results:
,precision, recall, f1, support
0,0.33,0.15,0.21,65
1,0.93,0.92,0.93,963
2,0.74,0.92,0.82,212
avg,0.67,0.66,0.65,1240

tdo-original-no_gsN-fold results:
,precision, recall, f1, support
0,0.42,0.08,0.13,225
1,0.91,0.91,0.91,2869
2,0.65,0.82,0.72,623
avg,0.66,0.60,0.59,3717

Heldout results:
,precision, recall, f1, support
0,0.62,0.15,0.25,65
1,0.95,0.91,0.93,963
2,0.69,0.97,0.80,212
avg,0.75,0.68,0.66,1240

tdo-original-no_gsN-fold results:
,precision, recall, f1, support
0,0.29,0.15,0.19,225
1,0.92,0.92,0.92,2869
2,0.73,0.84,0.78,623
avg,0.64,0.64,0.63,3717

Heldout results:
,precision, recall, f1, support
0,0.35,0.18,0.24,65
1,0.94,0.92,0.93,963
2,0.75,0.93,0.83,212
avg,0.68,0.68,0.67,1240

